                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8604,                 4.1911,                 2.2708,                0.06088,                0.03611,                0.03872,                0.02126,                 2.1197,                 4.3125,                 2.7595,                 0.0892,                 0.0012,                 0.0012
                      1,                 1.7463,                 2.8481,                 2.2132,                0.79693,                0.26248,                0.25381,                0.10384,                 1.9214,                 2.6705,                 2.5784,               0.077376,              0.0023762,              0.0023762
                      2,                 1.5376,                 2.2445,                 2.0406,                0.82277,                0.28001,                0.27178,                0.12427,                 1.9598,                 2.1113,                 2.5165,               0.065424,              0.0034238,              0.0034238
                      3,                 1.5439,                 1.8164,                 1.9161,                0.85676,                0.31111,                0.34216,                0.15026,                  2.021,                 2.0664,                 2.5803,               0.053343,              0.0043426,              0.0043426
                      4,                   1.64,                 2.1286,                 1.8962,                0.85426,                 0.3081,                0.40536,                0.17051,                 2.0339,                 2.3557,                 2.4328,               0.041133,              0.0051328,              0.0051328
                      5,                  1.504,                 1.7615,                 1.7485,                0.70933,                0.47972,                 0.4918,                0.17545,                 1.9666,                 1.8839,                 2.3878,               0.028794,              0.0057942,              0.0057942
                      6,                  1.449,                 1.5583,                 1.7731,                0.83769,                0.28472,                0.26235,                  0.116,                 1.8758,                 2.0459,                  2.278,               0.016327,               0.006327,               0.006327
                      7,                 1.4067,                 2.0263,                 1.7052,                 0.8881,                0.35417,                0.29895,                0.14415,                 1.8733,                  2.276,                 2.2726,               0.006535,               0.006535,               0.006535
                      8,                 1.4346,                 1.5576,                 1.6811,                0.91863,                0.31862,                0.31444,                0.15716,                 1.8529,                 1.5743,                 2.1807,               0.006535,               0.006535,               0.006535
                      9,                 1.4473,                 1.4518,                 1.6159,                0.90842,                0.27441,                0.31271,                0.15664,                 1.8207,                 1.4784,                 2.1858,                0.00604,                0.00604,                0.00604
                     10,                 1.3034,                 1.2389,                 1.5547,                0.92936,                0.30694,                0.32986,                0.14867,                 2.0331,                 1.3746,                 2.6614,               0.005545,               0.005545,               0.005545
                     11,                 1.3348,                 1.1537,                 1.5827,                0.93319,                0.33333,                0.32983,                0.13978,                 2.0872,                 1.3319,                  2.605,                0.00505,                0.00505,                0.00505
                     12,                 1.3092,                 1.1565,                 1.5436,                0.93846,                0.32083,                0.33059,                0.13721,                 2.1037,                 1.3233,                   2.68,               0.004555,               0.004555,               0.004555
                     13,                 1.2535,                  1.098,                  1.498,                0.70966,                0.32083,                0.33145,                0.15251,                 1.9773,                  1.187,                 2.6455,                0.00406,                0.00406,                0.00406
                     14,                 1.3431,                 1.0342,                  1.571,                0.92579,                0.33194,                0.33597,                 0.1542,                 1.9998,                 1.1089,                 2.7795,               0.003565,               0.003565,               0.003565
                     15,                 1.2323,                0.95642,                 1.5018,                0.70306,                0.32083,                0.31524,                0.15622,                 2.0335,                 1.0326,                 2.8199,                0.00307,                0.00307,                0.00307
                     16,                 1.2076,                0.92325,                 1.5005,                0.92391,                0.33194,                0.31249,                0.14456,                 2.0766,                 1.0708,                 2.9011,               0.002575,               0.002575,               0.002575
                     17,                 1.1953,                0.88649,                 1.4384,                0.73063,                0.34251,                0.32578,                0.15172,                 1.9893,                  1.028,                 2.9099,                0.00208,                0.00208,                0.00208
                     18,                  1.106,                0.91212,                 1.4027,                 0.9361,                0.34439,                0.33724,                0.14537,                  2.027,                0.97768,                 3.0994,               0.001585,               0.001585,               0.001585
                     19,                 1.0501,                0.83078,                 1.3741,                0.93716,                0.34444,                0.33345,                0.14761,                 2.0293,                 0.9798,                 3.1036,                0.00109,                0.00109,                0.00109
