                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1537,                 6.0719,                 2.4129,                0.09554,                0.10694,                0.06576,                0.01657,                 2.0365,                 4.5092,                 2.7477,                 0.0784,                 0.0024,                 0.0024
                      1,                 1.9559,                 3.9094,                 2.2197,                0.51079,                0.21127,                0.12662,                0.05634,                 1.9694,                 3.3378,                 2.4632,               0.055415,              0.0044149,              0.0044149
                      2,                 1.8625,                 3.0586,                 2.2633,                0.85406,                0.18945,                0.19758,                0.08335,                 2.0292,                 2.6269,                 2.6088,               0.031935,              0.0059348,              0.0059348
                      3,                 1.8055,                 2.6288,                 2.2078,                0.85346,                0.20278,                0.23911,                 0.1061,                 1.8497,                   2.36,                 2.4404,              0.0079597,              0.0069597,              0.0069597
                      4,                 1.8345,                  2.684,                 2.2114,                 0.6082,                0.20241,                0.26959,                0.11696,                  2.057,                 2.3194,                 2.3201,                0.00604,                0.00604,                0.00604
                      5,                 1.8698,                 2.3011,                 2.0958,                0.72268,                0.25536,                 0.2996,                0.13742,                 1.8563,                 1.9944,                 2.1003,                0.00604,                0.00604,                0.00604
                      6,                 1.8475,                 2.2908,                 2.0225,                0.68798,                0.31251,                0.31331,                0.12913,                 1.8383,                 1.9373,                 2.1169,                0.00505,                0.00505,                0.00505
                      7,                 1.8051,                 2.0749,                 2.0085,                 0.8695,                0.25972,                0.28624,                0.12724,                 1.8281,                 2.1538,                 2.1487,                0.00406,                0.00406,                0.00406
                      8,                 1.7699,                 1.8831,                 1.9674,                0.86796,                0.28638,                0.29011,                0.13599,                 1.9095,                 1.7748,                 2.2977,                0.00307,                0.00307,                0.00307
                      9,                 1.7818,                 1.7714,                 1.9134,                 0.8937,                0.29992,                0.31049,                0.14929,                   1.89,                 1.8369,                 2.3299,                0.00208,                0.00208,                0.00208
